"","who_post","who_retweet","rt_tweet"
"346","HPUKStudents","Move_Up_UK","James Dyson Wants To Remove Immigration Cap For 'Brightest'  And Create Science, Engineering Visa http://t.co/dOYXYJUBjX via @HPUKStudents"
"347","HPUKStudents","materialvalue","James Dyson Wants To Remove Immigration Cap For 'Brightest'  And Create Science, Engineering Visa http://t.co/wHYthiMMl6 via @HPUKStudents"
"348","HPUKStudents","sundersays","James Dyson Wants To Remove Immigration Cap For 'Brightest'  And Create Science, Engineering Visa http://t.co/Ctbriwp6mB via @HPUKStudents"
"349","HPUKStudents","MeronSemedar","@Eysc  #Eritrea, Migration In Search Of Freedom http://t.co/3f09zoGW9C via @HPUKStudents"
"350","HPUKStudents","MeronSemedar","EYSC_Eritrea, Migration In Search Of Freedom http://t.co/3f09zoGW9C via @HPUKStudents"
"351","HPUKStudents","wethe99percent","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/JA1kIpsEiE via @HPUKStudents"
"352","HPUKStudents","hd47111","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/TiXAjYCrt8 via @HPUKStudents"
"353","HPUKStudents","SvenRadio","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/4OlXXg23Kh via @HPUKStudents"
"354","HafizuddinSthi","TaufikHsm","Stop SA la sangat! :D RT @HafizuddinSthi: Harini hari Khamis bru aku teringat ada Server Migration maintenance . So duduk rumah je ah ! Haha"
"355","HalstedTrust","EdDarrell","Massachusetts Bound: The Winthrop Fleet - great site on migration FROM England -  http://t.co/VJjEukchpE via @HalstedTrust #APUSH #History"
"356","HashashinTag","sam4wong","RT @HashashinTag: Theresa May &amp; the Immigration Bill: Whipping up #racism to cut our services http://t.co/72trcRbqtL #NHS #HealthTourism #UK"
"357","Heritage","catsim7","Conservatives to Obama: We Dont Trust You on Immigration http://t.co/SjcUkz9yHc via @Heritage"
"358","HoopoeSafaris","atta_tourism","RT @HoopoeSafaris: Spectacular photographs of natures most magnificent migration from Serengeti National Park.. http://t.co/aRuKBPW4Qr"
"359","HoustonChron","MichelleSandlin","@HintHR Group ponders global immigration hotspots, challenges - by @MichelleSandlin http://t.co/IquKi0Tn9x via @HoustonChron"
"360","HuffPostPol","JanTee66","What Needs to Be Done to Pass Immigration Reform? http://t.co/wvncuKs6yx via @HuffPostPol"
"361","HuffPostPol","DaleaLugo","House Democrats Arrested In Immigration Reform Protest http://t.co/jK8UKxNCJ0 via @HuffPostPol"
"362","HuffPostPol","DonRL1","Obama Will Push Immigration After Fiscal Crisis Is Resolved http://t.co/ZaxuKrgnqa via @HuffPostPol Your going to be impeached, Benghazi IRS"
"363","HuffPostPol","DonRL1","Obama Will Push Immigration After Fiscal Crisis Is Resolved http://t.co/ZaxuKrgnqa via @HuffPostPol America,2 push for impeachment BENGHAZI."
"364","HuffPostPol","singinsagg","Republicans' Plan For Piecemeal Immigration Reform Is 'A Fallacy,' House Democrat Says http://t.co/UukOc9OX6U via @HuffPostPol"
"365","HuffPostPol","WENDYNDAILY","Obama Speaking On Immigration Reform http://t.co/UK21NEc3gW via @HuffPostPol"
"366","HuffPostPol","DipenduC","Four Reasons Why Shutdown Battle Increases Odds of Passing Immigration Reform http://t.co/0UkiMrADHw via @HuffPostPol"
"367","HuffPostPol","IMMIGRANT2013","Immigration Reform Not Dead Yet http://t.co/7UKcUIeQak via @HuffPostPol"
"368","HuffPostScience","CPAWSbc","Tiny Sensors Reveal Bird's Mind-Bending Migration http://t.co/41UkcjaJ1K via @HuffPostScience"
"369","HuffPostUK","mpbaz9710","Are British Youngsters Softer Than European Immigrants? http://t.co/W3aC8PKWUH via @HuffPostUK"
"370","HuffPostUK","MagnusiSolna","Lord Tebbit Warns Of Immigrants Who 'Recreate Their Country' In The UK http://t.co/1V6kF9rPmQ via @HuffPostUK #migpol #svpol"
"371","HuffPostUK","BradDodd","Romanian Immigrants 'Have Pick Of Thousands Of UK Jobs', Recruiter Says http://t.co/vS58L33u77 via @HuffPostUK - do you need good workers?"
"372","HuffPostUK","paranoidpatter","Tragic RT Dozens Killed After Migrant Boat Catches Fire Off Italy's Lampedusa Island http://t.co/50iUZNU88J via @HuffPostUK"
"373","HuffPostUK","Down2DT","Dozens Killed After Migrant Boat Catches Fire Off Italy's Lampedusa Island http://t.co/SOW3qFqiUv via @HuffPostUK"
"374","HuffPostUK","Sherdaco","Dozens Drown After Migrant Boat Catches Fire Off Italian Coast http://t.co/0h2T4UkMBE via @HuffPostUK"
"375","HuffPostUK","atafain","British Universities Fall Victim to Immigration Reform via @HuffPostUK http://t.co/kl2gQ9NYGo"
"376","HuffPostUK","sam4wong","British Universities Fall Victim to #Immigration Reform | via @HuffPostUK: http://t.co/yM5PFLOZfb @MigrantVoiceUK @migrants_rights @UN @HRW"
"377","HuffPostUK","MigrantVoiceUK","British Universities Fall Victim to #Immigration Reform | via @HuffPostUK: http://t.co/prJ6nAbe89"
"378","HuffPostUK","sam4wong","Romania in the UK &amp; the Culture of Blame | via @HuffPostUK http://t.co/vfTPjnI5H9 #Immigration #Migrants #Media @MigrantVoiceUK @EVB_Now #UK"
"379","HuffPostUK","DearsonWinyard","Romania in the UK and the Culture of Blame http://t.co/DdCmvJ4UbG via @HuffPostUK #immigration"
"380","HuffPostUK","Natalie91231732","'NO VOTES IN ANTI-IMMIGRATION STANCE' http://t.co/tjNHStt1EB via @HuffPostUK"
"381","HuffPostUK","markpack","RT @HuffPostUK: Go Home Immigration Van Campaign Branded 'Misleading' By Advertising Standards Authority http://t.co/uKmOydZXc0"
"382","HuffPostUK","shailesh23660","Go Home Immigration Van Campaign Branded 'Misleading' By Advertising Standards Authority http://t.co/Sgr9sMK1ML via @HuffPostUK"
"383","HuffPostUK","charlierichmond","Go Home Immigration Van Campaign Branded 'Misleading' By Advertising Standards Authority http://t.co/0AHndNOpWv via @HuffPostUK"
"384","HuffPostUK","Bairddavey","Go Home Immigration Van Campaign Branded 'Misleading' By Advertising Standards Authority http://t.co/ZLLk7dyTUp via @HuffPostUK"
"385","HuffPostUK","leicsactivist","Go Home Immigration Van Campaign Branded 'Misleading' By Advertising Standards Authority http://t.co/y3lGx4N3Tc via @HuffPostUK"
"386","HuffPostUK","PurbeckPashmina","MT @BobEllard1 Go Home Immigration Van Campaign 'Misleading' - Advertising Standards Authority http://t.co/dPXOqZPQ2s via @HuffPostUK #Fail"
"387","HuffPostUK","marina_rota","Immigration Coverage Dominated By The Word 'Illegal', Major Study Of Newspapers Finds http://t.co/2olSD8ZRgM via @HuffPostUK"
"388","HuffPostUK","deepspacedman","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/eP1AvpqipP via @HuffPostUK"
"389","HuffPostUK","shailesh23660","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/RV0PPhzlR2 via @HuffPostUK"
"390","HuffPostUK","Moonwalk2Truth","New Immigration Bill 'A Race Relations Nightmare Waiting To Happen' http://t.co/3f336GYIQP via @HuffPostUK"
"391","HuffPostUK","ShamilaBW","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/WTnO3W1OoI via @HuffPostUK"
"392","HuffPostUK","Gremkoska","The Good, Bad, getting Ugly? Illegal Immigrants To Be Blocked From Banks And Charged For NHS... http://t.co/kqkuAh6SbE via @HuffPostUK"
"393","HuffPostUK","ryanscribe","Electoral stunt? ""Illegal"" [most are not] #immigrants to be blocked from banks, charged for NHS http://t.co/nZi6Nk5OuV via @HuffPostUK"
"394","HuffPostUK","deepspacedman","Illegal Immigrants To Be Blocked From Banks And Charged For NHS http://t.co/36TesxK6Hc via @HuffPostUK"
"395","HuffPostUK","rhys_goode","RT @HuffPostUK: Theresa May sniggers through interview on tough new immigration bill  http://t.co/lpbQ6OXMGk &lt; nasty party alive &amp; well"
"396","HuffPostUK","Andreas_Bieler","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/Q17sT0NqDm via @HuffPostUK"
"397","HuffPostUK","FawziB","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/VOB8lN9bZi via @HuffPostUK"
"398","HuffPostUK","stop_child_det","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/Pkuoc9hkzI via @HuffPostUK"
"399","HuffPostUK","catethetwaate","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/OE3y1HsmNV via @HuffPostUK"
"400","HuffPostUK","msHamadani","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/IDuqu5Qsy0 via @HuffPostUK"
"401","HuffPostUK","Think_Blue_Sky","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/cvrezhhlv1 via @HuffPostUK"
"402","HuffPostUK","R_3_M","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/gPJcz0TdPr via @HuffPostUK"
"403","HuffPostUK","Cochis3","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/lifqfTTK5t via @HuffPostUK"
"404","HuffPostUK","REFCardiffVG","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/H0eajbrjk5 via @HuffPostUK"
"405","HuffPostUK","eskimosue1","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/MPSk68jb00 via @HuffPostUK"
"406","HuffPostUK","RochDW","a truly laughing matter indeed: Theresa May Sniggers Through Interview On New Immigration Bill http://t.co/BEnsuk3D2i via @HuffPostUK"
"407","HuffPostUK","shailesh23660","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/DNSd34nX7d via @HuffPostUK"
"408","HuffPostUK","love4thecross","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/SAo0EPQtKi via @HuffPostUK"
"409","HuffPostUK","jackcolleton","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/fdpuR4myiE via @HuffPostUK"
"410","HuffPostUK","VincentAven","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/Jt3vJhIF2c via @HuffPostUK#VOTETORY"
"411","HuffPostUK","VincentAven","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/IeogBZZXsO via @HuffPostUK"
"412","HuffPostUK","MrOluseun","RT @HuffPostUK: How many illegal immigrants have left the UK after spotting the 'racist' Go Home van?  http://t.co/R2pMgWmsZP"
"413","HuffPostUK","LindaG792806280","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/NTiyD6G63c via @HuffPostUK"
"414","HuffPostUK","shailesh23660","How Many Illegal Immigrants Have Left The UK Because Of This? http://t.co/Wjk8BvFpzG via @HuffPostUK"
"415","HuffPostUK","TurnbullRuther","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/KRovLiWHVG via @HuffPostUK"
"416","HuffPostUK","ligomersall","Theresa May Sniggers Through Nicky Campbell Interview On New Immigration Bill http://t.co/Qshx0nmVOb via @HuffPostUK"
"417","HuffPostUK","mpbaz9710","Illegal Immigrants To Be Blocked From Banks And Charged For NHS Under New Plans http://t.co/0NoUyNLxrH via @HuffPostUK"
"418","HuffPostUK","ads41","In a world where immigrants drown by the boat-load, let's all have a good chuckle eh? http://t.co/dakKCDF1G1 via @HuffPostUK"
"419","HuffPostUK","_DDVG","Romania's Foreign Minister Titus Corlcean Slams"" Xenophobic, Populist"" UK Politicians http://t.co/4T6pyKbrfb via @HuffPostUK #immigration"
"420","HuffPostUK","bown1968","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO, P... http://t.co/9NAVy4cO47 via @HuffPostUK"
"421","HuffPostUK","Natalie91231732","Clegg Slaps Down Tory Immigration Minister Over 'Racist Van' http://t.co/Az1dC2K3Wa via @HuffPostUK"
"422","HuffPostUK","LabuzAnna","Twitter's #RacistVan Campaign To Troll Home Office Over 'Go Home' Campaign Against Immigration http://t.co/SdMRu190Yx via @HuffPostUK"
"423","HuffPostUK","7HenriettaSt","The Individual and the Group: Why Our Attitudes to Immigration Don't Make Sense http://t.co/gIZrFjE1Mx? via @HuffPostUK"
"424","HuffPostUK","GreenLeftie","James Dyson Wants To Remove Immigration Cap For 'Brightest'  And Create Science, Engineering Visa http://t.co/BJdXVDPE2u via @HuffPostUK"
"425","HuffPostUK","leicsactivist","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/zlMMOYYKpg via @HuffPostUK"
"426","HuffPostUK","moseleytom","Who's to blame for Britain's housing crisis: immigrants or grandmas? http://t.co/USvlhoY7yg via @HuffPostUK"
"427","HuffPostUK","Dr_JohanFranzen","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/9dbi9OuyO4 via @HuffPostUK"
"428","HuffPostUK","netgrans","Ridiculous! Elderly More To Blame For Housing Crisis Than Immigrants, Minister Nick Boles Says http://t.co/Joa9tXP432 via @HuffPostUK"
"429","HuffPostUK","evilbluebird","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/I8YC0FjWR8 via @HuffPostUK"
"430","HuffPostUK","mmazerine","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/Pzp23U58P5 via @HuffPostUK"
"431","HuffPostUK","ligomersall","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/yJkaPyrZn1 via @HuffPostUK"
"432","HuffPostUK","laylapup","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/s58bQoIgA0 via @HuffPostUK"
"433","HuffPostUK","APPGMigration","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/AHDqC1y1r8 via @HuffPostUK"
"434","HuffPostUK","SimpleCarrot","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/2Vm8XBUiNv via @HuffPostUK"
"435","HuffPostUK","margare65326933","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/0mQoe070Vt via @HuffPostUK"
"436","HuffPostUK","grahphil","#Elderly More To Blame For Housing Crisis Than #Immigrants,#Tory Planning Minister Nick Boles Says http://t.co/CpO8hA7pUA via @HuffPostUK"
"437","HuffPostUK","inigem","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/TLxmqJgnOg via @HuffPostUK"
"438","HuffPostUK","ARTHURSLEA","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/f0pRppNohB via @HuffPostUK"
"439","HuffPostUK","doggypicks","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/tMfWh5QDxx via @HuffPostUK Grannyism"
"440","HuffPostUK","BunnyMatthews1","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/0l1B5FX7rY via @HuffPostUK"
"441","HuffPostUK","garysout","Elderly More To Blame For Housing Crisis Than Immigrants Planning Minister Nick Boles Says http://t.co/JFr5hR9o0n via @HuffPostUK Pathetic #"
"442","HuffPostUK","mark_rudhall","Disgraceful Tory minister says, our grandparents are to blame for housing shortage and not immigrants-http://t.co/uPpN7rKh1B via @HuffPostUK"
"443","HuffPostUK","SidontaeWilson","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/HMDUsDXn08 via @HuffPostUK"
"444","HuffPostUK","garysout","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/pixhhSDb31 via @HuffPostUK  Invest in education then"
"445","HuffPostUK","intlpolitical","Uh.. Immigration will fall if British students achieve more, says David Cameron http://t.co/fdcQ3tMpcX via @HuffPostUK"
"446","HuffPostUKEnt","MigrantVoiceUK","A migrant voice/observer RIP MT @CS_Tomlinson: Felix Dexter's comedy and race dynamic in the UK http://t.co/HitwPu7T8B via @HuffPostUKEnt"
"447","HuffPostUKPol","Byfield_PR","[Boris Johnson's] London Visa - A New Immigration Alternative? http://t.co/ZeIEc7PfMN by Katrina Cooper of @FaegreBD via @HuffPostUKPol"
"448","HuffPostUKPol","lizzie_snow","The London Visa - A New Immigration Alternative? http://t.co/h4fG2q1UDJ via @HuffPostUKPol"
"449","HuffPostUKPol","albertdeak","Lord Tebbit Warns Of Immigrants Who 'Recreate Their Country' In The UK http://t.co/33I9fCVS6j via @HuffPostUKPol"
"450","HuffPostUKPol","Claudiadeak","Lord Tebbit Warns Of Immigrants Who 'Recreate Their Country' In The UK http://t.co/Q6WcEletkB via @HuffPostUKPol"
"451","HuffPostUKPol","DearsonWinyard","The London Visa - A New #Immigration Alternative? http://t.co/s4uVgfADmR via @HuffPostUKPol"
"452","HuffPostUKPol","BarnwoodBrixton","UKBA Immigration Officers At Kensal Green Tube Accused Of Racial Profiling And Heavy-Handedness http://t.co/ljMQKMYIzL via @HuffPostUKPol"
"453","HuffPostUKPol","Cafedesroumains","#Romania in the #UK and the #Culture of Blame http://t.co/OpffhDw6M2 via @HuffPostUKPol #immigration #discrimination #xénophobie #roumain"
"454","HuffPostUKPol","EmmySL","Cameron's 'Big Society' Press-Ganged Into Immigration Battle http://t.co/01Ud21R7Q1 via @HuffPostUKPol"
"455","HuffPostUKPol","MattCarr2","My piece for the Huffington Post on the Coalition's new Immigration Bill.  http://t.co/P0Mh6WF4R6 via @HuffPostUKPol"
"456","HuffPostUKPol","Illogicalzen","Theresa May's Hateful Immigration Bill: A Shocker by Any Other Name http://t.co/WRaa3bdxBL via @HuffPostUKPol"
"457","HuffPostUKPol","timwinslade","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Go Home' On Live TV (VIDEO) http://t.co/heVCTZxX6p via @HuffPostUKPol"
"458","HuffPostUKPol","shailesh23660","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Go Home' On Live TV (VIDEO) http://t.co/aUQwspD5MC via @HuffPostUKPol"
"459","HuffPostUKPol","jeppu127","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/HNhG20z2uV via @HuffPostUKPol"
"460","HuffPostUKPol","UkImmigMagazine","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/a9n6RU2mtV via @HuffPostUKPol"
"461","HuffPostUKPol","jackcolleton","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/vbNo9Lh4ld via @HuffPostUKPol"
"462","HuffPostUKPol","ash_arain","#MarkHarper Immigration Minister what a prat,Tells Asylum Seeker To 'Return Home'OnLiveTV(VIDEO... http://t.co/8tLII3eJGK via @HuffPostUKPol"
"463","HuffPostUKPol","sallysolihull","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/bPMaKtcB2c via @HuffPostUKPol"
"464","HuffPostUKPol","Down2DT","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/XpEJo967wu via @HuffPostUKPol"
"465","HuffPostUKPol","TBINJ","Immigration Minister Tells Iraqi Asylum Seeker To 'Go Home' On Live TV http://t.co/evNriSiggA via @HuffPostUKPol"
"466","HuffPostUKPol","MariamariaRBM","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/X2epsa7OXP via @HuffPostUKPol"
"467","HuffPostUKPol","Jimpearsonuk","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/npvs6j4NNr via @HuffPostUKPol"
"468","HuffPostUKPol","labour52rose","Immigration Minister Tells Iraqi Asylum Seeker To 'Go Home' On Live TV http://t.co/gZWPaIiU3Y via @HuffPostUKPol"
"469","HuffPostUKPol","Cochis3","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/CxwGWDT69f via @HuffPostUKPol"
"470","HuffPostUKPol","The_UK_Migrant","Mark Harper, #Immigration Minister, Tells #Iraqi #Asylum Seeker To 'Return Home' On Live TV http://t.co/sy7on3HP0Z via @HuffPostUKPol"
"471","HuffPostUKPol","RickySixxboy","Jesus! I'm applauding a Tory! Immigration Minister Tells Iraqi Asylum Seeker To 'Go Home' http://t.co/qaSSFtFN4F via @HuffPostUKPol"
"472","HuffPostUKPol","johnlpinfold","Mark Harper, Immigration Minister, Tells Iraqi Asylum Seeker To 'Return Home' On Live TV (VIDEO... http://t.co/0X3OThCLR0 via @HuffPostUKPol"
"473","HuffPostUKPol","Caastro","My latest thoughts on everyday life in the UK: It's Immigration, Stupid! http://t.co/WotwI93sP6 via @HuffPostUKPol"
"474","HuffPostUKPol","cguthier","Iconic Companies Founded By Immigrants http://t.co/8mBKCV2h1v via @HuffPostUKPol"
"475","HuffPostUKPol","topeolowu","@Caastro: It's Immigration, Stupid http://t.co/Sd8KgVVSWl via @HuffPostUKPol oh I didn't realise you wrote it till I read it....spot on"
"476","HuffPostUKPol","Il__Duce","""@Caastro: It's Immigration, Stupid http://t.co/b7fixuh6qY via @HuffPostUKPol"" &lt;&lt;&lt;~~~"
"477","HuffPostUKPol","shailesh23660","Nick Clegg Slaps Down Tory Minister Over 'Go Home' Immigration Vans http://t.co/v7NXWQ3FYK via @HuffPostUKPol"
"478","HuffPostUKPol","sallysolihull","Nick Clegg Slaps Down Tory Minister Over'Go Home'Immigration Vans http://t.co/9J4ZsRFF3q via @HuffPostUKPol &gt;BETTER LATE BETTER STILL &gt;NEVER"
"479","HuffPostUKPol","camshrone","Lord Tebbit Warns Of Immigrants Who 'Recreate Their Country' In The UK http://t.co/XPundMiiri via @HuffPostUKPol"
"480","HuffPostUKPol","Safadreamer","Lord Tebbit Warns Of Immigrants Who 'Recreate Their Country' In The UK http://t.co/CwKPah3dlv via @HuffPostUKPol"
"481","HuffPostUKPol","LuciaBaldi1","Lampedusa: A Turning Point for Europe's Migration Policy http://t.co/fbZcLLN1vd via @HuffPostUKPol"
"482","HuffPostUKPol","ocampod","Lampedusa: A Turning Point for Europe's Migration Policy http://t.co/4cZHEhKKdP via @HuffPostUKPol"
"483","HuffPostUKPol","vickya68","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/AqeM4i0yhj via @HuffPostUKPol"
"484","HuffPostUKPol","OdessaPhiles","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/TWWIKCKhPe via @HuffPostUKPol"
"485","HuffPostUKPol","AllSeasonsLtgs","""Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/nkeEjqcACK via @HuffPostUKPol"""
"486","HuffPostUKPol","sallysolihull","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/8Dr1zqRHSk via @HuffPostUKPol&gt;GRAN!."
"487","HuffPostUKPol","Safadreamer","Elderly More To Blame For Housing Crisis Than Immigrants, Planning Minister Nick Boles Says http://t.co/79iYY5mlmc via @HuffPostUKPol"
"488","HuffPostUKPol","GeorgeStamatis2","#Lampedusa: A Turning Point for Europe's Migration Policy http://t.co/xYhhHVlaq4 via @HuffPostUKPol"
"489","HuffPostUKPol","sallysolihull","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/nINxmIAg8q via @HuffPostUKPol"
"490","HuffPostUKPol","JayneLinney","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/BNR6FY0v1A via @HuffPostUKPol #ukgovernmentinchaos"
"491","HuffPostUKPol","mamapanda58","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/3vDYOrNlsc via @HuffPostUKPol"
"492","HuffPostUKPol","Wirralpix","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/df0IXwY2e8 via @HuffPostUKPol"
"493","HuffPostUKPol","ligomersall","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/scKa1mBYjd via @HuffPostUKPol"
"494","HuffPostUKPol","bencorde","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/PqQnkIFv67 via @HuffPostUKPol"
"495","HuffPostUKPol","CataNigra","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/FTWmx8Y51v via @HuffPostUKPol And pigs will fly too"
"496","HuffPostUKPol","gavtheukip","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/zqxmGFFIXY via @HuffPostUKPol"
"497","HuffPostUKPol","germanrisa","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/J1H8Z6WyA8 via @HuffPostUKPol"
"498","HuffPostUKPol","shailesh23660","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/HAS1Xud9Mc via @HuffPostUKPol"
"499","HuffPostUKPol","g56g","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/RwfSyZjyCM via @HuffPostUKPol #teacherROAR #scream"
"500","HuffPostUKPol","VincentAven","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/qFi0Nalexn via @HuffPostUKPol"
"501","HuffPostUKPol","AnonAntiPedo","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/OXyJEyfG4V via @HuffPostUKPol"
"502","HuffPostUKPol","LauraBMcFadyen","Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/0D4icL85R9 via @HuffPostUKPol"
"503","HuffPostUKPol","WorthingUKIP","#Immigration Will Fall If British Students Achieve More, Says David Cameron http://t.co/ZiC8wp7qHU via @HuffPostUKPol What planet is he on??"
"504","HuffPostWorld","bmangh","Right wing UK Government Introduces Tough Immigration Bill http://t.co/PY3RsAoMFp via @HuffPostWorld"
"505","HuffPostWorld","_CGLegal","U.S. Navy Rescues 128 Immigrants http://t.co/EUkYKWqYmb via @HuffPostWorld"
"506","HuffPostWorld","WorldisWatching","French Students Protest Immigrant Expulsions In Wake Of Detention Of Kosovar Girl #WorWat http://t.co/vZQeyHqUkT via @HuffPostWorld"
"507","Hurriyet","YildirimNews","Migrant carrying boat busted in Turkey en route to Romania http://t.co/Mk5HNyyV3S via @Hurriyet"
"508","IFAonlineUK","milesagilitypr","Caution urged over legacy asset migration costs - survey - IFAonline http://t.co/zTZx0O87KG via @IFAonlineUK"
"509","IH_Team","Rhieky","Hore, bise masuk sekolah agik RT @IH_Team Indonesian Hacker is up again :D after server migration http://t.co/EvUuXp46ia"
"510","ITVNews","sam4wong","Complaints over 'go home' texts: via @ITVNews http://t.co/QkZKsdRYNQ #Immigration #RightToRemain #UK @UKHomeOffice @humanrightslaw @JCWInews"
"511","IanDunt","sam4wong","RT @IanDunt: The immigration bill costs more than it saves, risks community health &amp; infringes civ... http://t.co/YNRFrvh5da @MigrantVoiceUK"
"512","Ian_Ladyman_DM","wertvolle_nidya","Bukan aku! RT @Ian_Ladyman_DM: Lady at immigration gave me a big smile, which was flattering. Until I realised she was laughing at my name."
"513","ImmPolicyCenter","RI4A","RT @ImmPolicyCenter: Ongoing Government Shutdown Disrupts #Immigration Processing http://t.co/tKqhmukr3G"
"514","ImmPolitic","TheRabenGroup","RT @ImmPolitic: #Immigration reform groups resume their fight. http://t.co/wuKwR1grBX  #Ready4Reform Day of Action coming up on Oct 29"
"515","Immigration_Now","digitalissy","Feds Arrest Palestinian Woman Charged with Terrorism for Immigration Fraud http://t.co/GbWRcHFmUk via @Immigration_Now"
"516","Independent","sam4wong","#UKHomeOffice: Govt to press on with £200 #migrant 'tax' despite public opposition: via @Independent: http://t.co/F54VwTJ9zv @MigrantVoiceUK"
